제목,영상 ID,업로드 날짜,썸네일 URL,영상 길이,조회수,자막 파일
카페 야간 알바 공포게임 소름이 쫙 돋았다.,XWYYg8aRcFY,2022-05-03T02:30:07Z,https://i.ytimg.com/vi/XWYYg8aRcFY/hqdefault.jpg,0:23:13,2642137,captions\XWYYg8aRcFY.txt
직업이 전부 연인(?) 사랑 가득한 마피아 게임,5t-B2uSuPq4,2024-12-13T07:57:16Z,https://i.ytimg.com/vi/5t-B2uSuPq4/hqdefault.jpg,0:41:26,886304,captions\5t-B2uSuPq4.txt
눈물나는 희생게임 통합본 [로블록스 애니메이션],4-S2mNio9jQ,2023-06-24T06:00:09Z,https://i.ytimg.com/vi/4-S2mNio9jQ/hqdefault.jpg,0:42:06,1770815,captions\4-S2mNio9jQ.txt
학교 폭력을 공포게임으로 만든다면..?,kkxdYLZxadY,2025-03-18T09:01:00Z,https://i.ytimg.com/vi/kkxdYLZxadY/hqdefault.jpg,0:24:29,163239,captions\kkxdYLZxadY.txt
이모의 집에 숨겨진 무서운 비밀 (공포게임/I'm Still Here),Ffcc1Pl3a4c,2025-04-28T12:45:03Z,https://i.ytimg.com/vi/Ffcc1Pl3a4c/hqdefault.jpg,0:32:32,120951,captions\Ffcc1Pl3a4c.txt
(※시간 증발) 그냥 혼자 성 지키는 디펜스게임인데 중독성 미쳤습니다.,uPwr9d2z5cc,2025-02-10T10:35:01Z,https://i.ytimg.com/vi/uPwr9d2z5cc/hqdefault.jpg,0:42:45,1082662,captions\uPwr9d2z5cc.txt
패스트푸드 음식점에서 야간 근무하기 (공포게임/Kiosk),cmdZq7Pu9MU,2025-03-09T12:00:49Z,https://i.ytimg.com/vi/cmdZq7Pu9MU/hqdefault.jpg,1:26:45,343121,captions\cmdZq7Pu9MU.txt
오징어게임2에 미친 사람들의 러시안 룰렛,yxv986VoeI0,2025-01-14T02:30:42Z,https://i.ytimg.com/vi/yxv986VoeI0/hqdefault.jpg,0:46:20,535708,captions\yxv986VoeI0.txt
현재 리썰보다 재밌다고 해외에서 난리난 게임ㅋㅋ(R.E.P.O.),yBULTA0ex_8,2025-03-17T07:00:43Z,https://i.ytimg.com/vi/yBULTA0ex_8/hqdefault.jpg,0:22:36,150169,
"⚠️30분 순삭⚠️분명 한판만 하려고했는데 하루가 지나버린 ""혼자 괴물 잡는 게임""",WxDBPx_XFdM,2025-05-05T10:13:50Z,https://i.ytimg.com/vi/WxDBPx_XFdM/hqdefault.jpg,0:33:28,326658,captions\WxDBPx_XFdM.txt
그냥 오리 쳐다보는 게임; 근데 1시간 동안함ㅋㅋㅋㅋㅋㅋㅋ,PBwfOoNpiN8,2022-08-07T10:00:18Z,https://i.ytimg.com/vi/PBwfOoNpiN8/hqdefault.jpg,0:49:50,1686561,captions\PBwfOoNpiN8.txt
투표로 생존자를 정하는 게임... 게임 제목이 이상함ㅋㅋㅋ 로블록스 제거되지 않음,BQTx3mf32Fg,2024-03-16T23:00:05Z,https://i.ytimg.com/vi/BQTx3mf32Fg/hqdefault.jpg,0:20:03,627495,captions\BQTx3mf32Fg.txt
올해 가장 잘 만든 개웃긴 공포게임 ㅋㅋㅋㅋ,oY5xtlJtitg,2024-01-14T09:00:27Z,https://i.ytimg.com/vi/oY5xtlJtitg/hqdefault.jpg,0:27:03,2202823,captions\oY5xtlJtitg.txt
[로블록스] 배신과 거짓말이 난무하는 최고의 희생 게임 모음!! - 민또 경또 -,l0Xo8DTJPsE,2023-11-25T07:30:10Z,https://i.ytimg.com/vi/l0Xo8DTJPsE/hqdefault.jpg,0:58:41,1184453,captions\l0Xo8DTJPsE.txt
오랜만에 '내가' 무서움을 느낀 공포게임 (Within Skerry),wF7O72urgK0,2022-02-12T13:05:26Z,https://i.ytimg.com/vi/wF7O72urgK0/hqdefault.jpg,1:19:41,1755889,captions\wF7O72urgK0.txt
"""쥰내 웃기네"" 혜안져스 단체협동게임ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ[점프가이즈]",GvoAXAUUxQI,2024-06-15T09:59:00Z,https://i.ytimg.com/vi/GvoAXAUUxQI/hqdefault.jpg,0:20:09,1239545,captions\GvoAXAUUxQI.txt
와...혜안져스 바다생존게임 초고수가 됐습니다ㄷㄷ (※29분 순삭),7cvJL7R9o7o,2024-12-02T10:37:00Z,https://i.ytimg.com/vi/7cvJL7R9o7o/hqdefault.jpg,0:29:00,837423,
"""게임 한판에 2시간"" 미친 도파민 파티에 정신나간 클리드 ㅋㅋㅋ",E3nwEbM2MZ0,2025-05-07T15:08:35Z,https://i.ytimg.com/vi/E3nwEbM2MZ0/hqdefault.jpg,0:30:35,187771,captions\E3nwEbM2MZ0.txt
무려 166명을 감동시켜버린 두부 게임,7kLqaEI2s3Y,2024-11-27T02:30:03Z,https://i.ytimg.com/vi/7kLqaEI2s3Y/hqdefault.jpg,0:30:35,509048,captions\7kLqaEI2s3Y.txt
타르코프 생각나는 넥슨의 신작 파밍류 게임 [아크 레이더스/Arc raiders],NFIcHrojncg,2025-05-06T03:00:20Z,https://i.ytimg.com/vi/NFIcHrojncg/hqdefault.jpg,0:30:17,62718,
"[라이브] 15년만에 출시된 게임 ""캡틴블러드"" 켠김에 왕까지",zlGjk4m5_nc,2025-05-07T16:05:00Z,https://i.ytimg.com/vi/zlGjk4m5_nc/hqdefault.jpg,10:32:03,6687,captions\zlGjk4m5_nc.txt
모르면 죽을 수밖에 없는 터널 (공포게임/Parasite Tunnel),gDiiKV9Q1Zc,2025-05-04T12:45:04Z,https://i.ytimg.com/vi/gDiiKV9Q1Zc/hqdefault.jpg,0:22:20,140947,captions\gDiiKV9Q1Zc.txt
