video_id,reason
Up0BA7AS99o,video_unavailable
5weDFok7H-s,list_error: '_TranslationLanguage' object is not subscriptable
SNpgx7CxzRk,list_error: '_TranslationLanguage' object is not subscriptable
i4sbNTVHqSQ,list_error: '_TranslationLanguage' object is not subscriptable
4qUKc_ag_Ag,video_unavailable
siamEnncDA8,list_error: '_TranslationLanguage' object is not subscriptable
R86BwEzLQPQ,list_error: '_TranslationLanguage' object is not subscriptable
DsrqBTMlRIw,video_unavailable
1DX5ooH-9MA,list_error: '_TranslationLanguage' object is not subscriptable
9qFJcNsFhnE,video_unavailable
lxIcR9usng0,video_unavailable
3GxfF_5MLfA,list_error: '_TranslationLanguage' object is not subscriptable
k1VT2kJ_--M,video_unavailable
X9e-VY5Pfhc,list_error: '_TranslationLanguage' object is not subscriptable
SEAzaQMquKk,video_unavailable
ZUEYyiKnKkQ,list_error: '_TranslationLanguage' object is not subscriptable
SSeAnT4KK5Q,list_error: '_TranslationLanguage' object is not subscriptable
FIis60hVSrM,video_unavailable
jJzjfXTb5H0,list_error: '_TranslationLanguage' object is not subscriptable
NUl0GwVT1xo,video_unavailable
AvmOAgQNtkk,list_error: '_TranslationLanguage' object is not subscriptable
HtYCxKWuXIo,video_unavailable
NCAfV-qJ7_E,list_error: '_TranslationLanguage' object is not subscriptable
8Au8flsRj5s,list_error: '_TranslationLanguage' object is not subscriptable
tO9kUb-xQuk,list_error: '_TranslationLanguage' object is not subscriptable
1kP1n9PYcRk,video_unavailable
mAhwBghDY5g,list_error: '_TranslationLanguage' object is not subscriptable
swTD6U4WeXc,list_error: '_TranslationLanguage' object is not subscriptable
PX7StKdNHT8,list_error: '_TranslationLanguage' object is not subscriptable
IUlh1z6-i4o,list_error: '_TranslationLanguage' object is not subscriptable
Y794Cu_I7Bw,list_error: '_TranslationLanguage' object is not subscriptable
r1fEJ9Bmofk,list_error: '_TranslationLanguage' object is not subscriptable
m9LzCqVuEUo,video_unavailable
g6J6aglE7r4,list_error: '_TranslationLanguage' object is not subscriptable
GxkzioNprdY,list_error: '_TranslationLanguage' object is not subscriptable
lQdegMgFda4,video_unavailable
gIRlv_k8J3c,list_error: '_TranslationLanguage' object is not subscriptable
J8fMwoxsaEg,list_error: '_TranslationLanguage' object is not subscriptable
p2XSZupFFpU,list_error: '_TranslationLanguage' object is not subscriptable
9XszDzGV_2w,list_error: '_TranslationLanguage' object is not subscriptable
1VUqubO3_gM,video_unavailable
mdIIz64m1o0,list_error: '_TranslationLanguage' object is not subscriptable
x4gcxik1HpI,list_error: '_TranslationLanguage' object is not subscriptable
wJfAxq0dS8Y,video_unavailable
1haN7gtyYEA,video_unavailable
8n96iTeoo1E,list_error: '_TranslationLanguage' object is not subscriptable
uQKublLGjfY,video_unavailable
hugZqafChWY,list_error: '_TranslationLanguage' object is not subscriptable
3hIJ1Z9VIrY,video_unavailable
v4NT8BrPGo8,video_unavailable
RKzov4yyX8k,video_unavailable
7KKlXsYgTzE,list_error: '_TranslationLanguage' object is not subscriptable
5voOSzU_BbY,video_unavailable
